quality Training	performance	test recall	test precision
0,43555555555555553	18,588022	0,27413127413127414	0,2676056338028169
0,4311111111111111	19,014432	0,2972972972972973	0,2727272727272727
0,4311111111111111	20,811708	0,25868725868725867	0,23880597014925373
0,45111111111111113	21,164862	0,28957528957528955	0,25333333333333335
0,40444444444444444	20,542270000000002	0,2548262548262548	0,3181818181818182
0,44222222222222224	18,812818	0,2857142857142857	0,25675675675675674
0,46444444444444444	18,673175999999998	0,277992277992278	0,2222222222222222
0,42	19,126928	0,2857142857142857	0,2972972972972973
0,38	17,477504	0,23938223938223938	0,3709677419354839
0,4177777777777778	17,818182	0,3127413127413127	0,2839506172839506
0,42	17,126473	0,3204633204633205	0,30120481927710846
0,46	17,639060999999998	0,2625482625482625	0,20588235294117646
0,39111111111111113	17,8065	0,2625482625482625	0,29411764705882354
0,43333333333333335	16,628596	0,33204633204633205	0,36046511627906974
0,4	17,077683	0,2625482625482625	0,3382352941176471
0,42	18,082543	0,3127413127413127	0,32098765432098764
0,38	17,107893999999998	0,277992277992278	0,2916666666666667
0,4311111111111111	15,431302	0,305019305019305	0,3037974683544304
0,4266666666666667	17,74823	0,33204633204633205	0,3372093023255814
0,43555555555555553	16,175078	0,27413127413127414	0,2676056338028169
0,4444444444444444	17,875901	0,3204633204633205	0,2891566265060241
0,4444444444444444	17,231945	0,2972972972972973	0,2987012987012987
0,45555555555555555	15,862151	0,32432432432432434	0,2857142857142857
0,41555555555555557	15,970818000000001	0,2972972972972973	0,2727272727272727
0,4266666666666667	16,656943000000002	0,3204633204633205	0,30120481927710846
0,42444444444444446	19,567322	0,29343629343629346	0,35526315789473684
0,44222222222222224	15,242318000000001	0,3436293436293436	0,33707865168539325
0,4311111111111111	17,028512	0,28185328185328185	0,2602739726027397
0,4488888888888889	18,609433	0,3088803088803089	0,275
0,4088888888888889	16,965491	0,28185328185328185	0,3013698630136986
0,3977777777777778	16,989178	0,2857142857142857	0,3108108108108108
0,4266666666666667	16,903629000000002	0,27413127413127414	0,29577464788732394
0,4288888888888889	16,979585	0,3088803088803089	0,3125
0,3844444444444444	15,344702	0,2702702702702703	0,5571428571428572
0,4177777777777778	17,570111	0,25096525096525096	0,26153846153846155
0,41333333333333333	16,736328999999998	0,29343629343629346	0,32894736842105265
0,4311111111111111	16,756878999999998	0,3088803088803089	0,3625
0,4022222222222222	16,388097	0,277992277992278	0,3333333333333333
0,4266666666666667	15,709303	0,3204633204633205	0,3373493975903614
0,4311111111111111	15,828242	0,28185328185328185	0,273972602739726
0,4222222222222222	15,09441	0,29343629343629346	0,3026315789473684
0,41333333333333333	17,03281	0,2972972972972973	0,2857142857142857
0,38	16,954132	0,28185328185328185	0,3561643835616438
0,4688888888888889	16,115805	0,2972972972972973	0,22077922077922077
0,44	17,151259	0,2625482625482625	0,27941176470588236
0,40444444444444444	15,830023	0,3166023166023166	0,32926829268292684
0,42444444444444446	17,609818	0,2702702702702703	0,2857142857142857
0,43777777777777777	16,230222	0,32432432432432434	0,30952380952380953
0,43333333333333335	16,259693	0,2972972972972973	0,3116883116883117
0,4266666666666667	18,267385	0,2471042471042471	0,265625
0,4222222222222222	16,079338	0,26640926640926643	0,2898550724637681
0,38	16,671371	0,25096525096525096	0,3076923076923077
0,4666666666666667	18,035223000000002	0,2972972972972973	0,22077922077922077
0,37777777777777777	15,404159	0,2972972972972973	0,5064935064935064
0,45111111111111113	15,870479	0,30115830115830117	0,28205128205128205
0,39555555555555555	16,456352	0,2857142857142857	0,3783783783783784
0,43555555555555553	16,025078	0,29343629343629346	0,32894736842105265
0,42	16,487316	0,3281853281853282	0,3764705882352941
0,40444444444444444	17,06494	0,29343629343629346	0,5526315789473685
0,42	16,077932	0,26640926640926643	0,2753623188405797
0,44	17,771617	0,3166023166023166	0,3048780487804878
