negativeRecall	0,9474747654634271	0,9590436903039797	0,9671169090968745	0,9718397017001341	0,9747302186211271	0,9763980727535807	0,9780147346363236	0,9782995644388407	0,9778842970753245	0,9780052571720768	0,9789798789655596	0,9777946020625258	0,9803103947855754	0,9762506311198261	
negativeRecall StdDev	0,008916399005389977	0,01664736522559154	0,016120209247178677	0,013632647027747889	0,011424867062802945	0,010996871558895071	0,010599734738919508	0,011113308219968357	0,012060141648825299	0,015350930794411586	0,01698714193588845	0,022986411374464024	0,026705291665909667	0,04050621609744627	
negativePrecision	0,23339933288673043	0,18299612648302663	0,18940379420826184	0,1946066984077965	0,21440709710569084	0,2257976054737361	0,23590550563781743	0,23993075794264065	0,2443432458780449	0,2538387970004653	0,25949695241338927	0,2584824617575532	0,26842579514584675	0,2659395171821641	
negativePrecision StdDev	0,39646647815691394	0,24092326369230868	0,1358210099657474	0,041406549557082534	0,03202921468067893	0,030196132517859978	0,03076982913861118	0,03231530058495389	0,03393050955433143	0,04269603314655865	0,050546544659976	0,06291592394578228	0,08182863862574058	0,11598995168450525	
f-Measure	0,5631638463638636	0,6673901121491833	0,7060302658047519	0,7261679601932177	0,7389608734656119	0,744917039594317	0,7502478550932388	0,7530854871981738	0,7540324457169538	0,7587994310517827	0,7599413481480092	0,7618722261952778	0,765797970028189	0,766813676885685	
f-Measure StdDev	0,0914464636747975	0,051951772173251004	0,02670406445190614	0,01783832280821489	0,015266030309222994	0,012915924964174848	0,013869482166202903	0,0155151358763232	0,01748125166802037	0,019723720353238047	0,02459463794643482	0,026991729897223368	0,03505880669936408	0,052198339263554085	
cpu-time (for complete test-set)	50,25010374999999	47,673950880000014	45,00006773	41,86161831999998	38,62680818	35,16793794000001	31,52423624999999	28,434435369999992	24,68286221	21,19824722	17,96342431	14,028080280000006	9,96149994	5,56256897	
cpu-time (for complete test-set) StdDev	2,4279958047678565	2,745659237194933	2,113224287597838	1,762693785052906	1,6728990920290265	1,6022131352967974	1,3386851962949764	1,4326366405255584	1,4946425308819493	1,5285110726462183	1,3986730176576114	1,5546007246373166	1,259640494672878	0,7690791461262436	
training-size	10,0	60,0	110,0	160,0	210,0	260,0	310,0	360,0	410,0	460,0	510,0	560,0	610,0	660,0	
training-size StdDev	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
test-size	699,0	649,0	599,0	549,0	499,0	449,0	399,0	349,0	299,0	249,0	199,0	149,0	99,0	49,0	
test-size StdDev	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
