J48							J48							J48							J48							
-C 0.05 -M 2 -A 	200	400	600	800	984		-C 0.05 -M 2 	200	400	600	800	984		-R -N 4 -Q 1 -M 2 -A 	200	400	600	800	984		-R -N 4 -Q 1 -M 2 	200	400	600	800	984		
Overall Recall: 	1	1	1	1	1		Overall Recall: 	1	1	1	1	1		Overall Recall: 	1	1	1	1	1		Overall Recall: 	1	1	1	1	1		
StdDev Overall Recall: 	0	0	0	0	0		StdDev Overall Recall: 	0	0	0	0	0		StdDev Overall Recall: 	0	0	0	0	0		StdDev Overall Recall: 	0	0	0	0	0		
Macro Overall Recall: 	0,6066	0,6384	0,6528	0,6654	0,671		Macro Overall Recall: 	0,6066	0,6384	0,6528	0,6654	0,671		Macro Overall Recall: 	0,593	0,6287	0,6439	0,6496	0,6537		Macro Overall Recall: 	0,593	0,6287	0,6439	0,6496	0,6537		
StdDev Macro Overall Recall: 	0,0387	0,0275	0,0257	0,0245	0,0267		StdDev Macro Overall Recall: 	0,0387	0,0275	0,0257	0,0245	0,0267		StdDev Macro Overall Recall: 	0,0377	0,0325	0,0276	0,025	0,0298		StdDev Macro Overall Recall: 	0,0377	0,0325	0,0276	0,025	0,0298		
Macro Pos/Neg Recall: 	0,5978	0,6364	0,655	0,6578	0,6639		Macro Pos/Neg Recall: 	0,5978	0,6364	0,655	0,6578	0,6639		Macro Pos/Neg Recall: 	0,5625	0,6436	0,6552	0,6618	0,6692		Macro Pos/Neg Recall: 	0,5625	0,6436	0,6552	0,6618	0,6692		
StdDev Macro Pos/Neg Recall: 	0,0576	0,0442	0,0385	0,0405	0,0357		StdDev Macro Pos/Neg Recall: 	0,0576	0,0442	0,0385	0,0405	0,0357		StdDev Macro Pos/Neg Recall: 	0,086	0,0495	0,0507	0,043	0,0429		StdDev Macro Pos/Neg Recall: 	0,086	0,0495	0,0507	0,043	0,0429		
Overall Precision: 	0,6066	0,6384	0,6528	0,6654	0,671		Overall Precision: 	0,6066	0,6384	0,6528	0,6654	0,671		Overall Precision: 	0,593	0,6287	0,6439	0,6496	0,6537		Overall Precision: 	0,593	0,6287	0,6439	0,6496	0,6537		
StdDev Overall Precision: 	0,0387	0,0275	0,0257	0,0245	0,0267		StdDev Overall Precision: 	0,0387	0,0275	0,0257	0,0245	0,0267		StdDev Overall Precision: 	0,0377	0,0325	0,0276	0,025	0,0298		StdDev Overall Precision: 	0,0377	0,0325	0,0276	0,025	0,0298		
Macro Overall Precision: 	0,6215	0,649	0,66	0,6744	0,6783		Macro Overall Precision: 	0,6215	0,649	0,66	0,6744	0,6783		Macro Overall Precision: 	0,6197	0,638	0,6528	0,6569	0,6593		Macro Overall Precision: 	0,6197	0,638	0,6528	0,6569	0,6593		
