REPTree			
StdDev Average Accuracy: 	0,018		StdDev Average Accuracy: 	0,0178		
Negative Average Accuracy: 	0,7964		Negative Average Accuracy: 	0,792		
StdDev Negative Average Accuracy: 	0,0257		StdDev Negative Average Accuracy: 	0,0272		
Neutral Average Accuracy: 	0,7542		Neutral Average Accuracy: 	0,7532		
StdDev Neutral Average Accuracy: 	0,0271		StdDev Neutral Average Accuracy: 	0,0234		
Positive Average Accuracy: 	0,815		Positive Average Accuracy: 	0,8101		
StdDev Positive Average Accuracy: 	0,0248		StdDev Positive Average Accuracy: 	0,0258		
Error Rate: 	0,591		Error Rate: 	0,5901		
StdDev Error Rate: 	0,0142		StdDev Error Rate: 	0,0132		
Negative Error Rate: 	0,2036		Negative Error Rate: 	0,208		
StdDev Negative Error Rate: 	0,0257		StdDev Negative Error Rate: 	0,0272		
Neutral Error Rate: 	0,7542		Neutral Error Rate: 	0,7532		
StdDev Neutral Error Rate: 	0,0271		StdDev Neutral Error Rate: 	0,0234		
Positive Error Rate: 	0,815		Positive Error Rate: 	0,8101		
StdDev Positive Error Rate: 	0,0248		StdDev Positive Error Rate: 	0,0258		

SimpleLogistic			SimpleLogistic			
-I 0 -M 150 -H 30 -W 0.0 	1566		-I 0 -M 150 -H 15 -W 0.0 -A 	1566		
Overall Recall: 	0,7148		Overall Recall: 	0,721		
StdDev Overall Recall: 	0,0263		StdDev Overall Recall: 	0,0245		
Macro Overall Recall: 	0,7148		Macro Overall Recall: 	0,721		
StdDev Macro Overall Recall: 	0,0263		StdDev Macro Overall Recall: 	0,0245		
Macro Pos/Neg Recall: 	0,6902		Macro Pos/Neg Recall: 	0,7001		
StdDev Macro Pos/Neg Recall: 	0,0328		StdDev Macro Pos/Neg Recall: 	0,0306		
Overall Precision: 	0,7148		Overall Precision: 	0,721		
StdDev Overall Precision: 	0,0263		StdDev Overall Precision: 	0,0245		
Macro Overall Precision: 	0,7279		Macro Overall Precision: 	0,7334		
StdDev Macro Overall Precision: 	0,0254		StdDev Macro Overall Precision: 	0,0238		
Macro Pos/Neg Precision: 	0,7808		Macro Pos/Neg Precision: 	0,784		
StdDev Macro Pos/Neg Precision: 	0,0273		StdDev Macro Pos/Neg Precision: 	0,0269		
Negative Recall: 	0,6763		Negative Recall: 	0,6957		
StdDev Negative Recall: 	0,0435		StdDev Negative Recall: 	0,0406		
Negative Precision: 	0,7787		Negative Precision: 	0,7823		
StdDev Negative Precision: 	0,0383		StdDev Negative Precision: 	0,0386		
Negative F-Measure: 	0,7228		Negative F-Measure: 	0,7356		
StdDev Negative F-Measure: 	0,0314		StdDev Negative F-Measure: 	0,0311		
Neutral Recalls: 	0,7644		Neutral Recalls: 	0,765		
StdDev Neutral Recalls: 	0,042		StdDev Neutral Recalls: 	0,0399		
Neutral Precision: 	0,6226		Neutral Precision: 	0,6323		
StdDev Neutral Precision: 	0,0349		StdDev Neutral Precision: 	0,0329		
Neutral F-Measure: 	0,6856		Neutral F-Measure: 	0,6917		
StdDev Neutral F-Measure: 	0,031		StdDev Neutral F-Measure: 	0,0296		
Positive Recall: 	0,7037		Positive Recall: 	0,7031		
