A1DE			A1DE			
StdDev Macro PosNeg F-Measure: 	0,0269		StdDev Macro PosNeg F-Measure: 	0,0223		StdDev Macro PosNeg F-Measure: 	0,0213		
OTHER PosNeg F-Measure: 	0,7338		OTHER PosNeg F-Measure: 	0,7387		OTHER PosNeg F-Measure: 	0,7388		
StdDev OTHER PosNeg F-Measure: 	0,0285		StdDev OTHER PosNeg F-Measure: 	0,0239		StdDev OTHER PosNeg F-Measure: 	0,0215		
Average Accuracy: 	0,8084		Average Accuracy: 	0,8113		Average Accuracy: 	0,8112		
StdDev Average Accuracy: 	0,0177		StdDev Average Accuracy: 	0,0138		StdDev Average Accuracy: 	0,0128		
Negative Average Accuracy: 	0,8196		Negative Average Accuracy: 	0,8236		Negative Average Accuracy: 	0,8198		
StdDev Negative Average Accuracy: 	0,02		StdDev Negative Average Accuracy: 	0,0196		StdDev Negative Average Accuracy: 	0,02		
Neutral Average Accuracy: 	0,7717		Neutral Average Accuracy: 	0,773		Neutral Average Accuracy: 	0,7749		
StdDev Neutral Average Accuracy: 	0,023		StdDev Neutral Average Accuracy: 	0,0209		StdDev Neutral Average Accuracy: 	0,0208		
Positive Average Accuracy: 	0,8328		Positive Average Accuracy: 	0,8359		Positive Average Accuracy: 	0,8366		
StdDev Positive Average Accuracy: 	0,023		StdDev Positive Average Accuracy: 	0,0199		StdDev Positive Average Accuracy: 	0,0175		
Error Rate: 	0,5949		Error Rate: 	0,5953		Error Rate: 	0,5977		
StdDev Error Rate: 	0,0125		StdDev Error Rate: 	0,0127		StdDev Error Rate: 	0,0125		
Negative Error Rate: 	0,1804		Negative Error Rate: 	0,1764		Negative Error Rate: 	0,1802		
StdDev Negative Error Rate: 	0,02		StdDev Negative Error Rate: 	0,0196		StdDev Negative Error Rate: 	0,02		
Neutral Error Rate: 	0,7717		Neutral Error Rate: 	0,773		Neutral Error Rate: 	0,7749		
StdDev Neutral Error Rate: 	0,023		StdDev Neutral Error Rate: 	0,0209		StdDev Neutral Error Rate: 	0,0208		
Positive Error Rate: 	0,8328		Positive Error Rate: 	0,8359		Positive Error Rate: 	0,8366		
StdDev Positive Error Rate: 	0,023		StdDev Positive Error Rate: 	0,0199		StdDev Positive Error Rate: 	0,0175		

