NBTree			
	1566		
Overall Recall: 	0,6805		
StdDev Overall Recall: 	0,0264		
Macro Overall Recall: 	0,6805		
StdDev Macro Overall Recall: 	0,0264		
Macro Pos/Neg Recall: 	0,68		
StdDev Macro Pos/Neg Recall: 	0,0352		
Overall Precision: 	0,6805		
StdDev Overall Precision: 	0,0264		
Macro Overall Precision: 	0,6873		
StdDev Macro Overall Precision: 	0,0265		
Macro Pos/Neg Precision: 	0,7279		
StdDev Macro Pos/Neg Precision: 	0,0311		
Negative Recall: 	0,6702		
StdDev Negative Recall: 	0,0508		
Negative Precision: 	0,7061		
StdDev Negative Precision: 	0,0458		
Negative F-Measure: 	0,6861		
StdDev Negative F-Measure: 	0,0354		
Neutral Recalls: 	0,6822		
StdDev Neutral Recalls: 	0,0503		
Neutral Precision: 	0,6065		
StdDev Neutral Precision: 	0,0359		
Neutral F-Measure: 	0,6409		
StdDev Neutral F-Measure: 	0,0319		
Positive Recall: 	0,6881		
StdDev Positive Recall: 	0,0468		
Positive Precision: 	0,7501		
StdDev Positive Precision: 	0,0388		
Positive F-Measure: 	0,7167		
StdDev Positive F-Measure: 	0,0345		
Micro F-Measure: 	0,6805		
StdDev Micro F-Measure: 	0,0264		
Macro F-Measure: 	0,6813		
StdDev Macro F-Measure: 	0,0263		
Micro PosNeg F-Measure: 	0,7013		
StdDev Micro PosNeg F-Measure: 	0,0297		
Macro PosNeg F-Measure: 	0,7011		
StdDev Macro PosNeg F-Measure: 	0,0282		
OTHER PosNeg F-Measure: 	0,7016		
StdDev OTHER PosNeg F-Measure: 	0,0293		
Average Accuracy: 	0,7863		
StdDev Average Accuracy: 	0,0173		
Negative Average Accuracy: 	0,7959		
StdDev Negative Average Accuracy: 	0,0232		
Neutral Average Accuracy: 	0,7454		
StdDev Neutral Average Accuracy: 	0,0239		
Positive Average Accuracy: 	0,819		
StdDev Positive Average Accuracy: 	0,021		
Error Rate: 	0,5898		
StdDev Error Rate: 	0,0122		
Negative Error Rate: 	0,2041		
StdDev Negative Error Rate: 	0,0232		
Neutral Error Rate: 	0,7454		
StdDev Neutral Error Rate: 	0,0239		
Positive Error Rate: 	0,819		
StdDev Positive Error Rate: 	0,021		

PART			PART			PART			PART			
-M 2 -C 0.25 -Q 1 	1566		-M 2 -C 0.25 -Q 1 -doNotMakeSplitPointActualValue 	1566		-R -M 2 -N 4 -Q 1 	1566		-R -M 2 -N 4 -Q 1 -doNotMakeSplitPointActualValue 	1566		
Overall Recall: 	0,6681		Overall Recall: 	0,6677		Overall Recall: 	0,6804		Overall Recall: 	0,6803		
StdDev Overall Recall: 	0,0258		StdDev Overall Recall: 	0,026		StdDev Overall Recall: 	0,0274		StdDev Overall Recall: 	0,0274		
Macro Overall Recall: 	0,6681		Macro Overall Recall: 	0,6677		Macro Overall Recall: 	0,6804		Macro Overall Recall: 	0,6803		
StdDev Macro Overall Recall: 	0,0258		StdDev Macro Overall Recall: 	0,026		StdDev Macro Overall Recall: 	0,0274		StdDev Macro Overall Recall: 	0,0274		
Macro Pos/Neg Recall: 	0,6925		Macro Pos/Neg Recall: 	0,6922		Macro Pos/Neg Recall: 	0,6952		Macro Pos/Neg Recall: 	0,695		
StdDev Macro Pos/Neg Recall: 	0,0346		StdDev Macro Pos/Neg Recall: 	0,0349		StdDev Macro Pos/Neg Recall: 	0,038		StdDev Macro Pos/Neg Recall: 	0,0379		
Overall Precision: 	0,6681		Overall Precision: 	0,6677		Overall Precision: 	0,6804		Overall Precision: 	0,6803		
StdDev Overall Precision: 	0,0258		StdDev Overall Precision: 	0,026		StdDev Overall Precision: 	0,0274		StdDev Overall Precision: 	0,0274		
Macro Overall Precision: 	0,6714		Macro Overall Precision: 	0,6708		Macro Overall Precision: 	0,686		Macro Overall Precision: 	0,6859		
StdDev Macro Overall Precision: 	0,0264		StdDev Macro Overall Precision: 	0,0266		StdDev Macro Overall Precision: 	0,0276		StdDev Macro Overall Precision: 	0,0278		
Macro Pos/Neg Precision: 	0,6974		Macro Pos/Neg Precision: 	0,6972		Macro Pos/Neg Precision: 	0,7198		Macro Pos/Neg Precision: 	0,7196		
StdDev Macro Pos/Neg Precision: 	0,0284		StdDev Macro Pos/Neg Precision: 	0,0283		StdDev Macro Pos/Neg Precision: 	0,0329		StdDev Macro Pos/Neg Precision: 	0,033		
