Macro PosNeg F-Measure: 	0,7475		Macro PosNeg F-Measure: 	0,741		Macro PosNeg F-Measure: 	0,752		Macro PosNeg F-Measure: 	0,752		
StdDev Macro PosNeg F-Measure: 	0,0299		StdDev Macro PosNeg F-Measure: 	0,0259		StdDev Macro PosNeg F-Measure: 	0,0302		StdDev Macro PosNeg F-Measure: 	0,0302		
OTHER PosNeg F-Measure: 	0,7475		OTHER PosNeg F-Measure: 	0,7415		OTHER PosNeg F-Measure: 	0,7525		OTHER PosNeg F-Measure: 	0,7525		
StdDev OTHER PosNeg F-Measure: 	0,0299		StdDev OTHER PosNeg F-Measure: 	0,0258		StdDev OTHER PosNeg F-Measure: 	0,0316		StdDev OTHER PosNeg F-Measure: 	0,0316		
Average Accuracy: 	0,818		Average Accuracy: 	0,815		Average Accuracy: 	0,8185		Average Accuracy: 	0,8185		
StdDev Average Accuracy: 	0,0196		StdDev Average Accuracy: 	0,0157		StdDev Average Accuracy: 	0,0216		StdDev Average Accuracy: 	0,0216		
Negative Average Accuracy: 	0,8312		Negative Average Accuracy: 	0,8332		Negative Average Accuracy: 	0,828		Negative Average Accuracy: 	0,828		
StdDev Negative Average Accuracy: 	0,0256		StdDev Negative Average Accuracy: 	0,0181		StdDev Negative Average Accuracy: 	0,0197		StdDev Negative Average Accuracy: 	0,0197		
Neutral Average Accuracy: 	0,7808		Neutral Average Accuracy: 	0,7718		Neutral Average Accuracy: 	0,7788		Neutral Average Accuracy: 	0,7788		
StdDev Neutral Average Accuracy: 	0,0304		StdDev Neutral Average Accuracy: 	0,0234		StdDev Neutral Average Accuracy: 	0,0301		StdDev Neutral Average Accuracy: 	0,0301		
Positive Average Accuracy: 	0,8407		Positive Average Accuracy: 	0,8407		Positive Average Accuracy: 	0,8498		Positive Average Accuracy: 	0,8498		
StdDev Positive Average Accuracy: 	0,0239		StdDev Positive Average Accuracy: 	0,0201		StdDev Positive Average Accuracy: 	0,0263		StdDev Positive Average Accuracy: 	0,0263		
Error Rate: 	0,596		Error Rate: 	0,5925		Error Rate: 	0,6005		Error Rate: 	0,6005		
StdDev Error Rate: 	0,0147		StdDev Error Rate: 	0,0141		StdDev Error Rate: 	0,0154		StdDev Error Rate: 	0,0154		
Negative Error Rate: 	0,1688		Negative Error Rate: 	0,1668		Negative Error Rate: 	0,172		Negative Error Rate: 	0,172		
StdDev Negative Error Rate: 	0,0256		StdDev Negative Error Rate: 	0,0181		StdDev Negative Error Rate: 	0,0197		StdDev Negative Error Rate: 	0,0197		
Neutral Error Rate: 	0,7808		Neutral Error Rate: 	0,7718		Neutral Error Rate: 	0,7788		Neutral Error Rate: 	0,7788		
StdDev Neutral Error Rate: 	0,0304		StdDev Neutral Error Rate: 	0,0234		StdDev Neutral Error Rate: 	0,0301		StdDev Neutral Error Rate: 	0,0301		
Positive Error Rate: 	0,8407		Positive Error Rate: 	0,8407		Positive Error Rate: 	0,8498		Positive Error Rate: 	0,8498		
StdDev Positive Error Rate: 	0,0239		StdDev Positive Error Rate: 	0,0201		StdDev Positive Error Rate: 	0,0263		StdDev Positive Error Rate: 	0,0263		

