"doc.msg: Descending",Count
"he's","51,702"
"i'll","51,536"
hit,"51,525"
pc,"51,225"
life,"51,098"
run,"51,057"
"то","50,949"
actually,"50,712"
por,"50,499"
trihard,"50,425"
"twitter.com","50,413"
9,"50,318"
those,"50,023"
"沒","49,660"
feel,"49,370"
free,"49,335"
auf,"49,300"
whats,"49,173"
wie,"48,959"
"é","48,902"
ein,"48,755"
para,"48,717"
n,"48,655"
12,"48,645"
many,"48,544"
2016,"48,520"
qui,"48,431"
show,"48,344"
hype,"47,646"
lo,"47,534"
ou,"47,525"
smorc,"47,466"
une,"47,409"
add,"47,224"
old,"47,144"
full,"47,089"
already,"46,840"
being,"46,825"
put,"46,735"
tho,"46,703"
thank,"46,608"
big,"46,543"
bien,"46,496"
wanna,"46,414"
swiftrage,"46,344"
"what's","46,202"
plus,"45,907"
help,"45,763"
fait,"45,685"
"就","45,561"
playlist,"45,166"
los,"44,950"
anyone,"44,790"
hard,"44,710"
"didn't","44,557"
"привет","44,526"
made,"44,511"
tell,"44,176"
yea,"44,152"
"可","44,016"
keep,"43,898"
avec,"43,881"
"i've","43,769"
kappavotes,"43,713"
z,"43,690"
como,"43,643"
played,"43,504"
hat,"43,452"
"在","43,448"
babyrage,"43,439"
their,"43,083"
let,"42,570"
voteyea,"42,513"
warning,"42,469"
gold,"42,418"
uptime,"42,088"
ah,"42,060"
maybe,"42,055"
k,"42,027"
um,"41,993"
"個","41,889"
"меня","41,870"
noch,"41,665"
"www.revlo.co","41,489"
"так","41,456"
buy,"41,348"
residentsleeper,"41,304"
aber,"41,255"
"j'ai","41,226"
most,"41,158"
elegiggle,"41,153"
"以","41,153"
"到","41,040"
call,"41,031"
very,"40,975"
vohiyo,"40,754"
dans,"40,482"
"會","40,448"
list,"40,330"
zu,"40,303"
support,"40,158"
fucking,"40,116"
salut,"40,085"
"он","39,967"
streaming,"39,846"
"嗎","39,803"
bin,"39,676"
"來","39,621"
find,"39,587"
"都","39,500"
"看","39,408"
ce,"39,339"
"小","39,268"
"ну","39,172"
while,"39,171"
watching,"39,097"
l,"39,088"
sup,"38,925"
"ça","38,909"
thought,"38,905"
11,"38,859"
these,"38,725"
money,"38,694"
"все","38,279"
raid,"38,060"
lot,"37,792"
since,"37,757"
coins,"37,660"
"大","37,509"
super,"37,397"
bei,"37,297"
face,"37,170"
seemsgood,"37,170"
co,"37,070"
donate,"36,951"
start,"36,916"
"www.twitch.tv","36,626"
once,"36,515"
toi,"36,422"
op,"36,401"
red,"36,370"
remember,"36,233"
banned,"36,185"
seconds,"36,160"
later,"36,021"
dead,"36,000"
server,"35,832"
trying,"35,785"
away,"35,775"
"по","35,774"
"тебя","35,714"
stuff,"35,554"
cause,"35,528"
giveaway,"35,359"
spam,"35,347"
mdr,"35,280"
used,"35,266"
war,"35,067"
done,"35,008"
"開","34,964"
son,"34,894"
black,"34,853"
yet,"34,834"
ps4,"34,818"
"doesn't","34,790"
quoi,"34,736"
little,"34,730"
viewers,"34,714"
okay,"34,661"
ty,"34,659"
ton,"34,605"
days,"34,576"
16,"34,522"
"台","34,519"
gotta,"34,460"
oui,"34,338"
hab,"34,266"
"für","34,222"
mon,"34,104"
steam,"34,084"
dann,"34,055"
mir,"34,029"
hate,"34,002"
discord,"33,772"
al,"33,735"
didnt,"33,706"
"阿","33,700"
around,"33,694"
request,"33,680"
ill,"33,531"
another,"33,512"
"или","33,420"
f,"33,306"
1000,"33,222"
raffle,"33,172"
which,"33,150"
left,"33,148"
jo,"33,144"
sleep,"33,132"
hahaha,"32,970"
probably,"32,906"
"www.facebook.com","32,555"
awesome,"32,478"
vous,"32,466"
jak,"32,417"
our,"32,267"
feelsgoodman,"32,174"
might,"32,149"
hope,"31,997"
hot,"31,944"
"還","31,881"
guess,"31,770"
au,"31,760"
ass,"31,750"
wenn,"31,722"
talk,"31,536"
"там","31,533"
friend,"31,484"
rekt,"31,472"
bot,"31,441"
lvl,"31,435"
kann,"31,278"
schon,"31,176"
com,"31,166"
nur,"31,120"
mas,"31,101"
high,"31,099"
suis,"31,025"
bit,"31,022"
hear,"30,983"
"天","30,936"
em,"30,913"
hahaa,"30,880"
hes,"30,859"
ca,"30,801"
"打","30,774"
times,"30,737"
typing,"30,732"
votenay,"30,720"
enough,"30,614"
oder,"30,606"
anything,"30,556"
amount,"30,542"
true,"30,452"
xbox,"30,442"
girl,"30,413"
pra,"30,257"
sie,"30,237"
talking,"30,223"
bon,"30,210"
using,"30,147"
nah,"30,126"
mods,"29,914"
sounds,"29,834"
13,"29,816"
gets,"29,814"
"если","29,802"
200,"29,782"
"же","29,706"
dat,"29,645"
seen,"29,523"
40,"29,442"
"麼","29,359"
lets,"29,353"
"isn't","29,284"
end,"29,195"
merci,"29,159"
ticket,"29,085"
current,"29,062"
von,"28,991"
25,"28,937"
looking,"28,864"
14,"28,853"
button,"28,736"
tak,"28,698"
"安","28,693"
re,"28,690"
started,"28,611"
enter,"28,599"
blue,"28,585"
500,"28,579"
went,"28,563"
solo,"28,558"
tout,"28,425"
makes,"28,390"
"уже","28,370"
world,"28,367"
ha,"28,339"
ask,"28,259"
hell,"28,242"
faire,"28,066"
things,"27,958"
main,"27,904"
"мне","27,886"
requested,"27,787"
plz,"27,723"
build,"27,697"
"い","27,658"
una,"27,594"
"нет","27,534"
min,"27,503"
18,"27,478"
dir,"27,469"
followerhype,"27,458"
hast,"27,403"
eat,"27,387"
nothing,"27,260"
turn,"27,259"
party,"27,257"
pro,"27,253"
earn,"27,164"
minute,"27,163"
ik,"27,150"
miss,"27,144"
year,"27,071"
fire,"27,036"
leave,"27,000"
dem,"26,971"
anele,"26,936"
wrong,"26,914"
ai,"26,801"
friends,"26,789"
"there's","26,698"
elo,"26,636"
point,"26,555"
through,"26,551"
ben,"26,473"
overwatch,"26,454"
idk,"26,432"
oo,"26,398"
"к","26,367"
twitchrpg,"26,365"
facebook,"26,295"
message,"26,278"
fine,"26,265"
two,"26,243"
vs,"26,238"
heist,"26,230"
subscribe,"26,209"
luck,"26,139"
m,"26,125"
ale,"26,108"
soon,"26,061"
"那","26,058"
happy,"26,043"
"будет","26,018"
ossloth,"25,936"
60,"25,893"
esta,"25,860"
subs,"25,780"
dick,"25,723"
official,"25,694"
"玩","25,554"
streams,"25,523"
change,"25,479"
g,"25,348"
"есть","25,268"
pero,"25,267"
"youtu.be","25,256"
visit,"25,233"
saw,"25,229"
"去","25,214"
power,"25,188"
command,"25,174"
holy,"25,147"
"бы","25,129"
else,"25,128"
doch,"25,052"
head,"25,001"
player,"24,918"
called,"24,866"
"下","24,844"
lose,"24,834"
part,"24,824"
easy,"24,800"
pick,"24,788"
wish,"24,745"
following,"24,727"
quand,"24,703"
max,"24,494"
trump,"24,494"
hier,"24,477"
drop,"24,476"
mich,"24,457"
jetzt,"24,442"
24,"24,435"
map,"24,391"
hola,"24,331"
everything,"24,271"
"о","24,183"
least,"24,180"
found,"24,130"
sound,"24,113"
brb,"24,059"
"тебе","24,035"
saying,"23,999"
needs,"23,948"
heard,"23,927"
ihr,"23,926"
xp,"23,909"
click,"23,807"
pjsalt,"23,791"
wieder,"23,694"
ooo,"23,682"
open,"23,678"
must,"23,641"
stay,"23,606"
boy,"23,605"
few,"23,604"
user,"23,593"
without,"23,564"
both,"23,548"
"他","23,511"
beat,"23,483"
21,"23,472"
"な","23,409"
vc,"23,382"
del,"23,380"
"上","23,357"
"點","23,334"
normal,"23,323"
almost,"23,311"
"vk.com","23,311"
17,"23,266"
fight,"23,253"
"っ","23,194"
says,"23,160"
"說","23,113"
"го","23,052"
coming,"23,047"
doesnt,"23,039"
house,"23,023"
sourpls,"22,978"
det,"22,972"
"когда","22,840"
question,"22,812"
baby,"22,788"
id,"22,787"
years,"22,739"
account,"22,727"
far,"22,691"
gay,"22,662"
"кто","22,617"
cmonbruh,"22,612"
star,"22,594"
making,"22,545"
match,"22,535"
enjoy,"22,499"
ee,"22,484"
ez,"22,454"
"很","22,453"
comment,"22,449"
deck,"22,446"
"только","22,415"
"но","22,398"
chance,"22,364"
shot,"22,356"
"просто","22,307"
vai,"22,291"
place,"22,272"
"也","22,266"
abi,"22,129"
"多","22,074"
funny,"22,057"
set,"22,053"
ti,"22,044"
per,"22,031"
suck,"22,026"
commands,"21,986"
"можно","21,946"
ago,"21,945"
alright,"21,906"
missed,"21,872"
amazing,"21,799"
sind,"21,772"
own,"21,696"
vote,"21,668"
damage,"21,660"
af,"21,658"
meme,"21,648"
info,"21,632"
las,"21,593"
person,"21,576"
fast,"21,562"
za,"21,548"
low,"21,462"
master,"21,426"
bank,"21,420"
read,"21,353"
"стрим","21,342"
job,"21,339"
kid,"21,324"
ts,"21,324"
roulette,"21,316"
available,"21,246"
gl,"21,212"
until,"21,212"
420m,"21,186"
favorite,"21,172"
close,"21,162"
