den,"400,656"
night,"397,790"
"好","397,707"
were,"397,039"
50,"396,636"
auch,"396,586"
could,"395,382"
into,"394,459"
notlikethis,"394,435"
level,"391,748"
30,"388,763"
pls,"388,363"
other,"387,880"
bro,"387,378"
games,"387,056"
type,"386,366"
position,"384,709"
work,"384,071"
try,"381,981"
r,"379,964"
er,"379,351"
after,"379,102"
add,"377,466"
damn,"375,225"
music,"374,073"
guy,"373,524"
us,"372,985"
won,"372,703"
thing,"372,120"
"за","371,661"
cant,"364,319"
heyguys,"361,650"
cool,"360,137"
moi,"358,551"
kill,"358,454"
fun,"358,435"
before,"358,318"
sorry,"358,274"
top,"358,156"
always,"357,938"
mean,"356,749"
free,"353,342"
ever,"352,923"
great,"352,537"
"à","351,354"
minglee,"350,648"
rank,"347,895"
auf,"347,565"
x,"346,827"
getting,"346,825"
pretty,"346,555"
long,"346,470"
ein,"345,713"
something,"344,580"
ma,"344,481"
wie,"343,456"
b,"339,900"
va,"339,818"
"i'll","338,525"
looks,"337,135"
hit,"336,937"
run,"336,572"
9,"335,766"
someone,"334,001"
hype,"333,355"
15,"333,091"
"twitter.com","332,506"
bye,"331,908"
life,"331,343"
q,"330,622"
real,"330,213"
ban,"330,100"
though,"326,312"
n,"323,989"
"he's","323,950"
"да","323,140"
whats,"322,779"
many,"321,674"
con,"320,557"
pc,"319,672"
thank,"319,049"
"то","317,283"
12,"317,275"
those,"315,779"
non,"315,094"
por,"314,373"
feel,"312,659"
streamer,"312,423"
"要","312,321"
actually,"311,420"
z,"310,112"
ticket,"306,803"
qui,"304,568"
hat,"302,541"
wanna,"302,445"
already,"301,816"
show,"300,712"
put,"300,604"
playlist,"300,456"
"這","300,414"
une,"299,620"
"é","298,568"
"人","298,428"
para,"298,099"
big,"294,697"
smorc,"293,687"
tho,"293,654"
buy,"293,190"
bien,"292,349"
help,"291,777"
k,"291,638"
"www.revlo.co","290,199"
lo,"289,528"
uptime,"289,496"
old,"288,967"
hard,"288,958"
being,"288,888"
"what's","288,744"
2016,"288,742"
ou,"287,696"
swiftrage,"285,504"
aber,"285,419"
played,"284,848"
full,"284,647"
yea,"284,597"
plus,"283,458"
tell,"283,152"
noch,"281,903"
los,"281,609"
anyone,"281,117"
"didn't","280,530"
keep,"279,630"
elegiggle,"279,254"
fait,"278,941"
giveaway,"278,579"
made,"278,084"
warning,"277,899"
"i've","277,671"
zu,"277,585"
their,"277,450"
let,"276,172"
avec,"274,247"
raffle,"272,995"
streaming,"272,926"
bin,"271,820"
kappavotes,"271,626"
um,"271,281"
como,"270,914"
babyrage,"270,079"
"就","268,985"
"привет","268,436"
ah,"265,610"
maybe,"265,526"
coins,"264,750"
"沒","264,157"
l,"263,955"
call,"263,504"
vohiyo,"263,368"
87,"262,884"
watching,"261,136"
find,"260,777"
co,"260,053"
"так","259,963"
very,"259,689"
"меня","258,916"
residentsleeper,"257,824"
support,"256,633"
dans,"255,751"
"可","255,702"
"在","255,239"
list,"255,195"
sup,"254,615"
most,"253,808"
"он","253,578"
"j'ai","251,984"
start,"250,728"
11,"250,435"
these,"250,399"
while,"250,135"
donate,"250,126"
bei,"249,981"
gold,"249,770"
ce,"249,614"
hahaa,"249,547"
dead,"248,713"
fucking,"248,583"
salut,"248,200"
"ну","247,778"
lot,"247,186"
money,"246,224"
"ça","244,503"
steam,"243,443"
seconds,"243,231"
thought,"242,823"
red,"242,674"
later,"242,165"
seemsgood,"242,041"
"個","242,033"
op,"241,705"
"für","241,162"
since,"240,169"
"以","239,273"
super,"238,844"
war,"237,729"
"все","237,115"
hab,"236,990"
"到","236,162"
voteyea,"235,848"
server,"235,672"
face,"235,203"
dann,"234,542"
"會","234,419"
"看","234,258"
spam,"233,695"
mir,"233,655"
16,"233,516"
once,"233,492"
black,"233,400"
yet,"233,223"
trying,"233,000"
jak,"231,235"
"嗎","231,123"
away,"230,859"
"都","230,757"
remember,"230,363"
"www.twitch.tv","229,140"
feelsgoodman,"228,994"
toi,"228,400"
banned,"227,954"
cause,"226,899"
ty,"226,184"
stuff,"225,820"
done,"225,308"
okay,"224,595"
little,"224,120"
wenn,"223,995"
used,"223,906"
ill,"223,845"
discord,"223,636"
"來","223,502"
gotta,"223,236"
raid,"223,149"
jo,"222,922"
"тебя","222,878"
sie,"222,141"
around,"222,106"
days,"221,442"
ps4,"221,072"
left,"220,578"
"по","219,899"
typing,"219,535"
viewers,"219,374"
al,"218,483"
hate,"217,829"
son,"217,145"
hahaha,"216,946"
another,"216,887"
request,"216,749"
kann,"216,188"
quoi,"215,845"
"doesn't","215,762"
"大","215,522"
f,"215,265"
didnt,"214,332"
enter,"213,958"
nur,"213,226"
our,"213,205"
oui,"212,958"
sleep,"212,954"
vous,"212,340"
mon,"211,896"
awesome,"211,534"
hope,"211,527"
ik,"211,479"
ton,"210,941"
1000,"210,904"
probably,"210,251"
friend,"210,100"
oder,"210,075"
xbox,"209,593"
schon,"209,118"
bot,"207,992"
"www.facebook.com","207,979"
mdr,"207,892"
lets,"207,226"
au,"206,439"
talk,"206,096"
which,"205,941"
"台","205,837"
amount,"204,040"
tak,"203,118"
rekt,"203,005"
might,"202,430"
"小","202,390"
"開","201,859"
von,"201,838"
lvl,"201,415"
guess,"201,071"
hear,"200,896"
dat,"200,435"
enough,"199,814"
bit,"199,268"
ca,"197,780"
anything,"197,411"
200,"196,400"
14,"196,276"
"там","195,925"
earn,"195,619"
times,"195,368"
using,"194,994"
hes,"194,959"
nah,"194,943"
em,"194,942"
high,"194,564"
talking,"193,594"
"阿","192,799"
minute,"192,235"
end,"192,065"
button,"191,956"
mas,"191,690"
25,"191,596"
suis,"191,588"
started,"191,582"
world,"191,430"
twitchrpg,"191,065"
girl,"190,574"
"打","189,842"
13,"189,653"
dir,"189,381"
bon,"189,011"
went,"188,800"
com,"188,483"
true,"187,619"
ass,"187,458"
current,"186,587"
heist,"186,541"
500,"186,517"
"же","186,368"
ossloth,"186,105"
seen,"185,956"
"還","185,854"
"или","185,786"
mods,"185,597"
pra,"185,347"
gets,"185,224"
sounds,"184,702"
40,"184,676"
hast,"183,615"
"к","183,454"
"если","183,318"
looking,"183,085"
merci,"182,916"
dem,"182,563"
"isn't","182,471"
min,"182,369"
party,"181,941"
plz,"181,560"
visit,"181,206"
ale,"181,042"
overwatch,"180,887"
friends,"180,340"
anele,"179,709"
